fecha;producto;presentacion;unidades (kg);ciudad;precio_minimo;precio_maximo;categoria
2025-01-01;Plátano Guineo;Kilogramo;75;Sogamoso;3036;3173;Otros
2025-01-01;Plátano Guineo;Kilogramo;24;Tunja;2436;2573;Otros
2025-01-01;Plátano Guineo;Kilogramo;30;Bogotá;2568;2655;Otros
2025-01-01;Plátano Hartón Maduro;Bolsa;2;Boyacá;75724;75831;Otros
2025-01-01;Plátano Hartón Maduro;Bolsa;22;Sogamoso;75915;76053;Otros
2025-01-01;Plátano Hartón Maduro;Bolsa;49;Tunja;68538;68602;Otros
2025-01-01;Plátano Hartón Maduro;Bolsa;62;Bogotá;80458;80558;Otros
2025-01-01;Plátano Hartón Verde;Bolsa;55;Boyacá;77955;78055;Otros
2025-01-01;Plátano Hartón Verde;Bolsa;7;Sogamoso;78948;79018;Otros
2025-01-01;Plátano Hartón Verde;Bolsa;73;Tunja;75903;76036;Otros
2025-01-01;Plátano Hartón Verde;Bolsa;92;Bogotá;77290;77450;Otros
2025-01-01;Plátano Hartón Verde Llanero;Canastilla;60;Boyacá;88041;88125;Otros
2025-01-01;Plátano Hartón Verde Llanero;Canastilla;78;Sogamoso;83653;83783;Otros
2025-01-01;Plátano Hartón Verde Llanero;Canastilla;36;Tunja;90337;90520;Otros
2025-01-01;Plátano Hartón Verde Llanero;Canastilla;54;Bogotá;84958;85113;Otros
2025-01-01;Papa R-12 Negra;Bulto;4;Boyacá;37950;38047;Tuberculo
2025-01-01;Papa R-12 Negra;Bulto;15;Sogamoso;39303;39392;Tuberculo
2025-01-01;Papa R-12 Negra;Bulto;85;Tunja;35578;35680;Tuberculo
2025-01-01;Papa R-12 Negra;Bulto;24;Bogotá;36390;36563;Tuberculo
2025-01-01;Papa R-12 Roja;Bulto;41;Boyacá;36329;36467;Tuberculo
2025-01-01;Papa R-12 Roja;Bulto;71;Sogamoso;37248;37306;Tuberculo
2025-01-01;Papa R-12 Roja;Bulto;88;Tunja;35449;35561;Tuberculo
2025-01-01;Papa R-12 Roja;Bulto;11;Bogotá;36118;36248;Tuberculo
2025-01-01;Papa Criolla Limpia;Bulto;8;Boyacá;256036;256090;Tuberculo
2025-01-01;Papa Criolla Limpia;Bulto;41;Sogamoso;254659;254736;Tuberculo
2025-01-01;Papa Criolla Limpia;Bulto;7;Tunja;243009;243091;Tuberculo
2025-01-01;Papa Criolla Limpia;Bulto;48;Bogotá;259748;259859;Tuberculo
2025-01-01;Papa Criolla Sucia;Bulto;88;Boyacá;173718;173802;Tuberculo
2025-01-01;Papa Criolla Sucia;Bulto;65;Sogamoso;179894;180044;Tuberculo
2025-01-01;Papa Criolla Sucia;Bulto;47;Tunja;173497;173688;Tuberculo
2025-01-01;Papa Criolla Sucia;Bulto;27;Bogotá;171834;172020;Tuberculo
2025-01-01;Papa Parda Pastusa;Bulto;79;Boyacá;47343;47455;Tuberculo
2025-01-01;Papa Parda Pastusa;Bulto;96;Sogamoso;48315;48416;Tuberculo
2025-01-01;Papa Parda Pastusa;Bulto;96;Tunja;46603;46795;Tuberculo
2025-01-01;Papa Parda Pastusa;Bulto;43;Bogotá;48937;49015;Tuberculo
2025-01-01;Papa Sabanera;Bulto;36;Boyacá;126208;126343;Tuberculo
2025-01-01;Papa Sabanera;Bulto;28;Sogamoso;129081;129196;Tuberculo
2025-01-01;Papa Sabanera;Bulto;42;Tunja;128554;128737;Tuberculo
2025-01-01;Papa Sabanera;Bulto;28;Bogotá;132519;132596;Tuberculo
2025-01-01;Papa Superior;Bulto;44;Boyacá;58087;58264;Tuberculo
2025-01-01;Papa Superior;Bulto;92;Sogamoso;55343;55521;Tuberculo
2025-01-01;Papa Superior;Bulto;27;Tunja;58773;58825;Tuberculo
2025-01-01;Papa Superior;Bulto;70;Bogotá;54897;55083;Tuberculo
2025-01-01;Papa Única;Bulto;62;Boyacá;32477;32585;Tuberculo
2025-01-01;Papa Única;Bulto;32;Sogamoso;32350;32495;Tuberculo
2025-01-01;Papa Única;Bulto;88;Tunja;31848;31949;Tuberculo
2025-01-01;Papa Única;Bulto;12;Bogotá;34901;34989;Tuberculo
2025-01-01;Yuca Llanera;Bolsa;2;Boyacá;110660;110790;Tuberculo
2025-01-01;Yuca Llanera;Bolsa;59;Sogamoso;118220;118382;Tuberculo
2025-01-01;Yuca Llanera;Bolsa;2;Tunja;111230;111408;Tuberculo
2025-01-01;Yuca Llanera;Bolsa;19;Bogotá;115213;115388;Tuberculo
2025-01-01;Arveja Verde En Vaina;Bulto;2;Boyacá;183783;183900;Otros
2025-01-01;Arveja Verde En Vaina;Bulto;55;Sogamoso;226093;226265;Otros
2025-01-01;Arveja Verde En Vaina;Bulto;17;Tunja;201751;201916;Otros
2025-01-01;Arveja Verde En Vaina;Bulto;98;Bogotá;225512;225700;Otros
2025-01-01;Arveja Verde En Vaina Pastusa;Bulto;16;Boyacá;161089;161208;Otros
2025-01-01;Arveja Verde En Vaina Pastusa;Bulto;80;Sogamoso;173416;173558;Otros
2025-01-01;Arveja Verde En Vaina Pastusa;Bulto;3;Tunja;179109;179305;Otros
2025-01-01;Arveja Verde En Vaina Pastusa;Bulto;90;Bogotá;173107;173303;Otros
2025-01-01;Frijol Verde Cargamanto;Bulto;20;Boyacá;199046;199223;Otros
2025-01-01;Frijol Verde Cargamanto;Bulto;39;Sogamoso;215363;215494;Otros
2025-01-01;Frijol Verde Cargamanto;Bulto;1;Tunja;222287;222378;Otros
2025-01-01;Frijol Verde Cargamanto;Bulto;99;Bogotá;220160;220216;Otros
2025-01-01;Habichuela;Bulto;16;Boyacá;232776;232885;Verdura
2025-01-01;Habichuela;Bulto;2;Sogamoso;245052;245230;Verdura
2025-01-01;Habichuela;Bulto;48;Tunja;231202;231260;Verdura
2025-01-01;Habichuela;Bulto;99;Bogotá;236758;236954;Verdura
2025-01-01;Ahuyama;Kilogramo;48;Boyacá;2491;2594;Verdura
2025-01-01;Ahuyama;Kilogramo;33;Sogamoso;2341;2506;Verdura
2025-01-01;Ahuyama;Kilogramo;75;Tunja;2835;2996;Verdura
2025-01-01;Ahuyama;Kilogramo;89;Bogotá;3069;3217;Verdura
2025-01-01;Ahuyamin (Sakata);Bulto;25;Boyacá;65847;65964;Otros
2025-01-01;Ahuyamin (Sakata);Bulto;33;Sogamoso;61752;61942;Otros
2025-01-01;Ahuyamin (Sakata);Bulto;21;Tunja;58822;59007;Otros
2025-01-01;Ahuyamin (Sakata);Bulto;7;Bogotá;56733;56927;Otros
2025-01-01;Ajo;Atado/Manojo;33;Boyacá;57074;57242;Verdura
2025-01-01;Ajo;Atado/Manojo;22;Sogamoso;63638;63725;Verdura
2025-01-01;Ajo;Atado/Manojo;51;Tunja;56271;56341;Verdura
2025-01-01;Ajo;Atado/Manojo;30;Bogotá;57575;57721;Verdura
2025-01-01;Ajo Importado;Caja De Cartón;28;Boyacá;73255;73365;Verdura
2025-01-01;Ajo Importado;Caja De Cartón;48;Sogamoso;71860;72056;Verdura
2025-01-01;Ajo Importado;Caja De Cartón;4;Tunja;70187;70253;Verdura
2025-01-01;Ajo Importado;Caja De Cartón;44;Bogotá;69960;70055;Verdura
2025-01-01;Berenjena;Kilogramo;6;Boyacá;4035;4179;Otros
2025-01-01;Berenjena;Kilogramo;99;Sogamoso;5138;5303;Otros
2025-01-01;Berenjena;Kilogramo;63;Tunja;4440;4556;Otros
2025-01-01;Berenjena;Kilogramo;18;Bogotá;4061;4135;Otros
2025-01-01;Calabacín;Bolsa;95;Boyacá;7548;7724;Otros
2025-01-01;Calabacín;Bolsa;27;Sogamoso;7756;7935;Otros
2025-01-01;Calabacín;Bolsa;90;Tunja;8205;8297;Otros
2025-01-01;Calabacín;Bolsa;48;Bogotá;7853;7941;Otros
2025-01-01;Chócolo Mazorca;Bulto;93;Boyacá;170094;170193;Otros
2025-01-01;Chócolo Mazorca;Bulto;25;Sogamoso;160447;160509;Otros
2025-01-01;Chócolo Mazorca;Bulto;60;Tunja;180107;180176;Otros
2025-01-01;Chócolo Mazorca;Bulto;65;Bogotá;209361;209418;Otros
2025-01-01;Cidra;Kilogramo;16;Boyacá;2167;2248;Otros
2025-01-01;Cidra;Kilogramo;87;Sogamoso;2829;2964;Otros
2025-01-01;Cidra;Kilogramo;51;Tunja;2741;2915;Otros
2025-01-01;Cidra;Kilogramo;22;Bogotá;2033;2140;Otros
2025-01-01;Pepino Cohombro;Kilogramo;58;Boyacá;3997;4147;Verdura
2025-01-01;Pepino Cohombro;Kilogramo;97;Sogamoso;4661;4718;Verdura
2025-01-01;Pepino Cohombro;Kilogramo;53;Tunja;4242;4407;Verdura
2025-01-01;Pepino Cohombro;Kilogramo;94;Bogotá;4414;4510;Verdura
2025-01-01;Pepino De Rellenar (Caja);Caja De Cartón;99;Boyacá;35706;35768;Verdura
2025-01-01;Pepino De Rellenar (Caja);Caja De Cartón;30;Sogamoso;34147;34343;Verdura
2025-01-01;Pepino De Rellenar (Caja);Caja De Cartón;17;Tunja;30545;30652;Verdura
2025-01-01;Pepino De Rellenar (Caja);Caja De Cartón;55;Bogotá;29815;29954;Verdura
2025-01-01;Pepino De Rellenar (Canastilla);Canastilla;90;Boyacá;36953;37060;Verdura
2025-01-01;Pepino De Rellenar (Canastilla);Canastilla;1;Sogamoso;40625;40708;Verdura
2025-01-01;Pepino De Rellenar (Canastilla);Canastilla;96;Tunja;41770;41936;Verdura
2025-01-01;Pepino De Rellenar (Canastilla);Canastilla;1;Bogotá;38269;38334;Verdura
2025-01-01;Pimentón;Kilogramo;61;Boyacá;6214;6285;Otros
2025-01-01;Pimentón;Kilogramo;93;Sogamoso;6884;7009;Otros
2025-01-01;Pimentón;Kilogramo;26;Tunja;6108;6186;Otros
2025-01-01;Pimentón;Kilogramo;78;Bogotá;6085;6203;Otros
2025-01-01;Remolacha;Bulto;47;Boyacá;81991;82125;Verdura
2025-01-01;Remolacha;Bulto;39;Sogamoso;90612;90761;Verdura
2025-01-01;Remolacha;Bulto;33;Tunja;91547;91606;Verdura
2025-01-01;Remolacha;Bulto;69;Bogotá;81134;81283;Verdura
2025-01-01;Rábano Rojo;Atado/Manojo;34;Boyacá;9341;9459;Otros
2025-01-01;Rábano Rojo;Atado/Manojo;4;Sogamoso;9380;9445;Otros
2025-01-01;Rábano Rojo;Atado/Manojo;24;Tunja;9395;9528;Otros
2025-01-01;Rábano Rojo;Atado/Manojo;24;Bogotá;9657;9846;Otros
2025-01-01;Zanahoria;Bulto;50;Boyacá;128518;128668;Verdura
2025-01-01;Zanahoria;Bulto;12;Sogamoso;136499;136615;Verdura
2025-01-01;Zanahoria;Bulto;65;Tunja;137547;137677;Verdura
2025-01-01;Zanahoria;Bulto;90;Bogotá;131697;131754;Verdura
2025-01-01;Cebolla Cabezona Blanca;Bulto;93;Boyacá;76146;76253;Verdura
